OVRO-LWA antenna coordinates						
updated by dpw 2020MAY05				OVRO lease East boundary is 424m east of 0 and the North boundary is 1141 m north of 0		
	asbuilt					
antenna #	X	Y	Z	Radius	origin	medium	FPGA
LWA-218	-38.98	-42.00	1184.162553	57	container	LMR200	5
LWA-219	-56.91	-43.17	1184.100973	71	container	LMR200	5
LWA-220	-50.13	-55.21	1184.117420	75	container	LMR200	5
LWA-221	-53.52	-69.13	1183.945597	87	container	LMR200	6
LWA-222	-42.78	-70.52	1183.843984	82	container	LMR200	6
LWA-223	-61.20	-77.80	1184.045487	99	container	LMR200	5
LWA-224	-46.06	-85.88	1184.096094	97	container	LMR200	6
LWA-225	-73.92	75.70	1184.758117	106	container	LMR200	3
LWA-226	-79.39	58.70	1185.026093	99	container	LMR200	4
LWA-227	-64.18	57.28	1184.858820	86	container	LMR200	3
LWA-228	-78.20	44.66	1184.927850	90	container	LMR200	4
LWA-229	-74.25	38.92	1184.809387	84	container	LMR200	4
LWA-231	-89.61	29.02	1184.738435	94	container	LMR200	4
LWA-232	-86.74	19.96	1184.775610	89	container	LMR200	4
LWA-233	-64.16	16.11	1184.581869	66	container	LMR200	4
LWA-235	-67.59	5.75	1184.392741	68	container	LMR200	4
LWA-236	-76.70	1.68	1184.462959	77	container	LMR200	4
LWA-237	-92.21	-2.22	1184.802494	92	container	LMR200	4
LWA-238	-63.16	-4.27	1184.342600	63	container	LMR200	4
LWA-239	-65.15	-9.68	1184.335245	66	container	LMR200	4
LWA-240	-95.22	-15.35	1184.766150	96	container	LMR200	4
LWA-241	-71.97	-17.06	1184.384168	74	container	LMR200	5
LWA-242	-80.70	-19.28	1184.524571	83	container	LMR200	5
LWA-244	-68.42	-28.38	1184.274390	74	container	LMR200	5
LWA-245	-98.40	-30.78	1184.707447	103	container	LMR200	5
LWA-246	-87.89	-32.04	1184.557386	94	container	LMR200	5
LWA-248	-75.15	-42.82	1184.201911	86	container	LMR200	5
LWA-249	-81.49	-52.63	1184.338276	97	container	LMR200	5
LWA-250	-68.90	-54.37	1183.969325	88	container	LMR200	5
LWA-251	-71.30	-66.48	1184.094072	97	container	LMR200	5
LWA-252	87.27	250.34	1185.012449	265	container	LMR400	2
LWA-253	-76.40	253.86	1184.827971	265	container	LMR400	3
LWA-254	-210.99	160.43	1184.910897	265	container	LMR400	4
LWA-255	-264.98	5.78	1185.301495	265	container	LMR400	10
LWA-256	-217.76	-151.10	1184.079200	265	container	LMR400	5
LWA-257	-690.87	-257.99	1180.96	737	container	old fiber	10
LWA-258	-1044.78	339.43	1180.82	1099	container	old fiber	10
LWA-259	-228.97	923.65	1186.16	952	container	old fiber	9
LWA-260	-588.16	272.53	1184.48	648	container	old fiber	10
LWA-261	126.22	954.95	1186.49	963	container	old fiber	5
LWA-262	151.31	-80.18	1183.72	171	container	old fiber	8
LWA-263	-283.84	-399.54	1183.33	490	container	old fiber	10
LWA-264	-789.16	849.13	1186.16	1159	container	old fiber	5
LWA-265	-321.85	-52.25	1183.99	326	container	old fiber	10
LWA-266	-263.62	297.35	1185.58	397	container	old fiber	9
LWA-267	-9.28	440.59	1185.62	441	container	old fiber	9
LWA-268	-296.66	370.96	1185.92	475	container	old fiber	9
LWA-269	137.53	557.67	1185.01	574	container	old fiber	9
LWA-270	-675.67	-64.04	1182.25	679	container	old fiber	10
LWA-271	-334.68	801.06	1185.89	868	container	old fiber	9
LWA-272	-847.24	413.30	1183.53	943	container	old fiber	10
LWA-273	-661.24	576.20	1185.83	877	container	old fiber	9
LWA-274	147.31	100.02	1184.17	178	container	old fiber	1
LWA-275	314.70	644.94	1185.11	718	container	old fiber	1
LWA-276	-539.19	571.65	1185.88	786	container	old fiber	9
LWA-277	123.67	646.69	1185.55	658	container	old fiber	9
LWA-278	-172.95	685.41	1185.38	707	container	old fiber	9
LWA-279	353.20	542.83	1185.23	648	container	old fiber	0
LWA-280	-778.89	28.31	1181.22	779	container	old fiber	10
LWA-281	-266.61	260.05	1185.27	372	container	old fiber	9
LWA-282	-158.07	496.10	1185.73	521	container	old fiber	9
LWA-283	-789.67	-202.82	1180.83	815	container	old fiber	10
LWA-284	-425.13	121.69	1184.94	442	container	old fiber	10
LWA-285	-402.97	532.96	1185.32	668	container	old fiber	9
LWA-286	-1111.34	52.87	1180.49	1113	container	old fiber	1
LWA-287	-998.81	554.54	1181.15	1142	container	old fiber	3
LWA-288	-767.69	379.50	1182.87	856	container	old fiber	10
LWA-289	-585.38	-638.41		866	LWA-257	new fiber	2
LWA-290	-691.45	-447.06		823	LWA-257	new fiber	3
LWA-291	-1019.05	231.22		1045	LWA-258	new fiber	10
LWA-292	-913.21	107.38		920	LWA-258	new fiber	10
LWA-295	-549.03	130.17		564	LWA-260	new fiber	10
LWA-296	-713.46	233.21		751	LWA-260	new fiber	10
LWA-297	64.73	1076.19		1078	LWA-261	new fiber	4
LWA-298	346.12	1088.30		1142	LWA-261	new fiber	10
LWA-299	347.04	-358.00		499	LWA-262	new fiber	2
LWA-300	395.99	-213.76		450	LWA-262	new fiber	5
LWA-301	-509.59	-405.21		651	LWA-263	new fiber	10
LWA-302	-316.00	-657.11		729	LWA-263	new fiber	1
LWA-305	-418.43	18.03		419	LWA-265	new fiber	10
LWA-306	-531.84	-153.48		554	LWA-265	new fiber	10
LWA-307	-248.58	508.61		566	LWA-266	new fiber	9
LWA-308	-246.92	617.14		665	LWA-266	new fiber	9
LWA-309	-15.30	685.83		686	LWA-267	new fiber	9
LWA-310	-52.41	601.76		604	LWA-267	new fiber	9
LWA-311	-430.41	348.54		554	LWA-268	new fiber	9
LWA-312	-515.76	461.20		692	LWA-268	new fiber	9
LWA-313	256.74	408.11		482	LWA-269	new fiber	9
LWA-314	117.05	386.19		404	LWA-269	new fiber	9
LWA-315	-961.69	-254.62		995	LWA-270	new fiber	5
LWA-316	-1000.87	-143.72		1011	LWA-270	new fiber	7
LWA-319	-1197.50	457.42		1282	LWA-272	new fiber	2
LWA-320	-946.57	447.61		1047	LWA-272	new fiber	10
LWA-321	-518.55	727.34		893	LWA-273	new fiber	9
LWA-322	-692.35	995.65		1213	LWA-273	new fiber	6
LWA-323	208.66	203.49		291	LWA-274	new fiber	1
LWA-324	275.20	26.21		276	LWA-274	new fiber	8
LWA-325	415.00	924.78		1014	LWA-275	new fiber	7
LWA-326	294.19	730.84		788	LWA-275	new fiber	6
LWA-327	-424.80	866.03		965	LWA-276	new fiber	9
LWA-328	-452.92	1041.68		1136	LWA-276	new fiber	7
LWA-329	251.27	870.70		906	LWA-277	new fiber	3
LWA-330	134.91	782.53		794	LWA-277	new fiber	9
LWA-331	-1.65	910.95		911	LWA-278	new fiber	8
LWA-332	-74.16	791.54		795	LWA-278	new fiber	9
LWA-333	413.13	155.81		442	LWA-279	new fiber	6
LWA-334	347.76	399.88		530	LWA-279	new fiber	7
LWA-335	-915.84	-91.17		920	LWA-280	new fiber	10
LWA-336	-737.19	163.16		755	LWA-280	new fiber	10
LWA-337	-350.13	119.67		370	LWA-281	new fiber	10
LWA-338	-92.30	377.93		389	LWA-281	new fiber	9
